Username,Name,Before Price,After Price,Link
rowrowyourboat,LF: KRR 150 ZX,Not Slashed,"14,000",https://www.carousell.sg/p/lf-krr-150-zx-1272340143/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=lUzZXk2qcsxVfNTi&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=0
minimatmotor,Kawasaki KRR 150 (COE: 11/34),Not Slashed,"19,588",https://www.carousell.sg/p/kawasaki-krr-150-coe-11-34-1335313767/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=lUzZXk2qcsxVfNTi&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=1
muhd.razlin,KRR 2033 Aug Renewable,Not Slashed,"15,000",https://www.carousell.sg/p/krr-2033-aug-renewable-1336944805/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=lUzZXk2qcsxVfNTi&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=2
castawaydiva,Kawasaki KRR 150,Not Slashed,"24,999",https://www.carousell.sg/p/kawasaki-krr-150-1326266820/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=lUzZXk2qcsxVfNTi&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=3
bergzzzzzz,KRR 150,Not Slashed,1,https://www.carousell.sg/p/krr-150-1336503299/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=lUzZXk2qcsxVfNTi&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=5
vroomleasing,[BIKE RENTAL] Yamaha | Honda | Kawasaki | XSR155 | XSR | CB150X | CB200X | CB150 | CB200 | RXZ | MT15 | CBR150 | Krr | R15V4M | R15 V4 | R15 | R15v2 | Spark | Spark Leovince | X1R | X1R Yoshi | Aerox | Nmax | Duke 200 | Duke | Sniper | Gilera | ST200,Not Slashed,35,https://www.carousell.sg/p/bike-rental-yamaha-honda-kawasaki-xsr155-xsr-cb150x-cb200x-cb150-cb200-rxz-mt15-cbr150-krr-r15v4m-r15-v4-r15-r15v2-spark-spark-leovince-x1r-x1r-yoshi-aerox-nmax-duke-200-duke-sniper-gilera-st200-1239081472/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=lUzZXk2qcsxVfNTi&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=6
vroomleasing,[BIKE RENTAL] r15m Yamaha | Honda | Kawasaki | XSR155 | XSR | CB150X | CB200X | CB150 | CB200 | RXZ | MT15 | CBR150 | Krr | R15V4M | R15 V4 | R15 | R15v2 | Spark | Spark Leovince | X1R | X1R Yoshi | Aerox | Nmax | Duke 200 | Duke | Sniper | Gilera | ST200,Not Slashed,35,https://www.carousell.sg/p/bike-rental-r15m-yamaha-honda-kawasaki-xsr155-xsr-cb150x-cb200x-cb150-cb200-rxz-mt15-cbr150-krr-r15v4m-r15-v4-r15-r15v2-spark-spark-leovince-x1r-x1r-yoshi-aerox-nmax-duke-200-duke-sniper-gilera-st200-1239079274/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=lUzZXk2qcsxVfNTi&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=7
vroomleasing,[BIKE RENTAL] Yamaha | Honda | Kawasaki | XSR155 | XSR | CB150X | CB200X | CB150 | CB200 | RXZ | MT15 | CBR150 | Krr | R15V4M | R15 V4 | R15 | R15v2 | Spark | Spark Leovince | X1R | X1R Yoshi | Aerox | Nmax | Duke 200 | Duke | Sniper | Gilera | ST200,Not Slashed,240,https://www.carousell.sg/p/bike-rental-yamaha-honda-kawasaki-xsr155-xsr-cb150x-cb200x-cb150-cb200-rxz-mt15-cbr150-krr-r15v4m-r15-v4-r15-r15v2-spark-spark-leovince-x1r-x1r-yoshi-aerox-nmax-duke-200-duke-sniper-gilera-st200-1218128310/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=lUzZXk2qcsxVfNTi&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=8
vroomleasing,[BIKE RENTAL] Yamaha | Honda | Kawasaki | XSR155 | XSR | CB150X | CB200X | CB150 | CB200 | RXZ | MT15 | CBR150 | Krr | R15V4M | R15 V4 | R15 | R15v2 | Spark | Spark Leovince | X1R | X1R Yoshi | Aerox | Nmax | Duke 200 | Duke | Sniper | Gilera | ST200,Not Slashed,35,https://www.carousell.sg/p/bike-rental-yamaha-honda-kawasaki-xsr155-xsr-cb150x-cb200x-cb150-cb200-rxz-mt15-cbr150-krr-r15v4m-r15-v4-r15-r15v2-spark-spark-leovince-x1r-x1r-yoshi-aerox-nmax-duke-200-duke-sniper-gilera-st200-1239079404/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=lUzZXk2qcsxVfNTi&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=9
vroomleasing,[BIKE RENTAL] Yamaha | Honda | Kawasaki | XSR155 | XSR | CB150X | CB200X | CB150 | CB200 | RXZ | MT15 | CBR150 | Krr | R15V4M | R15 V4 | R15 | R15v2 | Spark | Spark Leovince | X1R | X1R Yoshi | Aerox | Nmax | Duke 200 | Duke | Sniper | Gilera | ST200,Not Slashed,35,https://www.carousell.sg/p/bike-rental-yamaha-honda-kawasaki-xsr155-xsr-cb150x-cb200x-cb150-cb200-rxz-mt15-cbr150-krr-r15v4m-r15-v4-r15-r15v2-spark-spark-leovince-x1r-x1r-yoshi-aerox-nmax-duke-200-duke-sniper-gilera-st200-1239079102/?t-id=FPBHKpJPpN_1731949110944&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=lUzZXk2qcsxVfNTi&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=10
